Date & Time	Soil Moisture (%)	Humidity (%)	Temperature (°C)
05/20/2022 01:20	78	80.00	28.90
05/20/2022 01:50	78	81.00	28.90
05/20/2022 02:20	77	81.00	28.90
05/20/2022 02:50	78	81.00	28.90
05/20/2022 03:20	78	82.00	28.80
05/20/2022 03:50	78	81.00	28.90
05/20/2022 04:20	77	83.00	29.00
05/20/2022 04:50	78	84.00	29.20
05/20/2022 05:20	77	81.00	29.50
05/20/2022 05:50	78	83.00	29.40
05/20/2022 06:20	78	84.00	29.30
05/20/2022 06:50	77	83.00	29.40
05/20/2022 07:20	80	85.00	28.80
05/20/2022 07:50	80	84.00	29.40
05/20/2022 08:20	79	79.00	30.80
05/20/2022 08:50	79	78.00	31.10
05/20/2022 09:20	79	77.00	31.50
05/20/2022 09:50	79	75.00	31.70
05/20/2022 10:20	78	74.00	32.10
05/20/2022 10:50	78	74.00	32.30
05/20/2022 11:20	77	73.00	32.80
05/20/2022 11:50	77	73.00	32.70
05/20/2022 12:20	77	73.00	32.40
05/20/2022 12:50	75	72.00	33.00
05/20/2022 13:20	76	74.00	33.30
05/20/2022 13:50	75	73.00	33.00
05/20/2022 14:20	61	70.00	33.30
05/20/2022 14:50	60	70.00	32.80
05/20/2022 15:20	83	72.00	32.00
05/20/2022 15:50	83	71.00	32.00
05/20/2022 16:20	82	74.00	31.00
05/20/2022 16:50	82	76.00	30.50
05/20/2022 17:20	81	80.00	30.00
05/20/2022 17:50	82	83.00	29.60
05/20/2022 18:20	81	82.00	30.00
05/20/2022 18:50	81	79.00	30.00
05/20/2022 19:20	85	83.00	28.30
05/20/2022 19:50	83	81.00	28.60
05/20/2022 20:20	84	82.00	28.40
05/20/2022 20:50	84	86.00	28.00
05/20/2022 21:20	83	84.00	28.60
05/20/2022 21:50	83	84.00	28.70
05/20/2022 22:20	83	85.00	28.70
05/20/2022 22:50	80	80.00	29.80
05/20/2022 23:20	79	82.00	29.20
05/20/2022 23:50	79	81.00	29.10
05/21/2022 00:20	80	81.00	29.00
05/21/2022 00:50	80	80.00	28.90
05/21/2022 01:20	80	80.00	28.80
05/21/2022 01:50	80	81.00	28.80
05/21/2022 02:20	80	80.00	28.80
05/21/2022 02:50	80	80.00	28.80
05/21/2022 03:20	80	80.00	28.60
05/21/2022 03:50	80	80.00	28.80
05/21/2022 04:20	80	82.00	28.70
05/21/2022 04:50	80	81.00	28.60
05/21/2022 05:20	80	82.00	28.60
05/21/2022 05:50	79	80.00	28.70
05/21/2022 06:20	79	82.00	29.00
05/21/2022 06:50	80	79.00	29.50
05/21/2022 07:20	79	78.00	30.00
05/21/2022 07:50	80	79.00	29.90
05/21/2022 08:20	80	80.00	29.70
05/21/2022 08:50	79	77.00	30.20
05/21/2022 09:20	79	75.00	30.80
05/21/2022 09:50	79	75.00	31.50
05/21/2022 10:20	80	71.00	31.90
05/21/2022 10:50	79	73.00	31.80
05/21/2022 11:21	72	68.00	32.30
05/21/2022 11:51	70	68.00	32.30
05/21/2022 12:21	71	66.00	32.00
05/21/2022 12:51	70	70.00	32.60
05/21/2022 13:21	70	68.00	32.90
05/21/2022 13:51	69	67.00	33.20
05/21/2022 14:21	70	65.00	32.80
05/21/2022 14:51	69	63.00	33.20
05/21/2022 15:21	70	62.00	32.90
05/21/2022 15:51	70	68.00	32.80
05/21/2022 16:21	70	63.00	32.30
05/21/2022 16:51	70	66.00	32.00
05/21/2022 17:21	70	67.00	31.90
05/21/2022 17:51	70	75.00	31.80
05/21/2022 18:21	70	70.00	31.50
05/21/2022 18:51	70	72.00	30.70
05/21/2022 19:21	71	75.00	31.10
05/21/2022 19:51	71	75.00	31.00
05/21/2022 20:21	71	73.00	30.90
05/21/2022 20:51	71	75.00	30.70
05/21/2022 21:21	71	74.00	30.60
05/21/2022 21:51	71	75.00	30.50
05/21/2022 22:21	71	75.00	30.40
05/21/2022 22:51	71	73.00	30.60
05/21/2022 23:21	71	73.00	31.10
05/21/2022 23:51	71	75.00	30.30
05/22/2022 00:21	71	77.00	30.20
05/22/2022 00:51	71	77.00	30.10
05/22/2022 01:21	71	77.00	30.10
05/22/2022 01:51	71	76.00	30.00
05/22/2022 02:21	71	77.00	30.00
05/22/2022 02:51	71	76.00	29.90
05/22/2022 03:21	71	74.00	29.80
05/22/2022 03:51	71	74.00	29.80
05/22/2022 04:21	71	75.00	29.70
05/22/2022 04:51	70	76.00	29.80
05/22/2022 05:21	70	76.00	29.80
05/22/2022 05:51	70	79.00	29.80
05/22/2022 06:21	70	79.00	29.90
05/22/2022 06:51	70	79.00	30.20
05/22/2022 07:21	70	80.00	30.30
05/22/2022 07:51	73	75.00	30.60
05/22/2022 08:21	73	77.00	31.30
05/22/2022 08:51	72	76.00	31.80
05/22/2022 09:21	73	76.00	32.20
05/22/2022 09:51	73	73.00	32.30
05/22/2022 10:21	72	70.00	33.30
05/22/2022 10:51	73	71.00	33.50
05/22/2022 11:21	71	74.00	33.60
05/22/2022 11:51	72	69.00	33.50
05/22/2022 12:21	71	70.00	33.60
05/22/2022 12:51	71	73.00	33.50
05/22/2022 13:21	71	68.00	33.20
05/22/2022 13:51	70	67.00	33.80
05/22/2022 14:21	70	67.00	33.70
05/22/2022 14:51	70	64.00	34.20
05/22/2022 15:21	69	65.00	34.40
05/22/2022 15:51	68	66.00	33.90
05/22/2022 16:21	68	64.00	33.90
05/22/2022 16:51	68	64.00	33.20
05/22/2022 17:21	69	67.00	32.20
05/22/2022 17:51	68	70.00	31.40
05/22/2022 18:21	69	79.00	29.60
05/22/2022 18:51	69	87.00	28.80
05/22/2022 19:21	69	90.00	28.20
05/22/2022 19:51	69	87.00	28.90
05/22/2022 20:21	69	88.00	29.00
05/22/2022 20:51	68	88.00	29.00
05/22/2022 21:21	68	86.00	29.20
05/22/2022 21:51	68	87.00	29.10
05/22/2022 22:21	68	88.00	29.20
05/22/2022 22:51	67	85.00	29.50
05/22/2022 23:21	67	82.00	30.10
05/22/2022 23:51	67	81.00	30.20
05/23/2022 00:21	67	80.00	30.20
05/23/2022 00:51	66	80.00	30.20
05/23/2022 01:21	67	80.00	30.20
05/23/2022 01:51	66	80.00	30.10
05/23/2022 02:21	66	80.00	30.00
05/23/2022 02:51	66	79.00	30.00
05/23/2022 03:21	66	80.00	30.00
05/23/2022 03:51	66	81.00	30.00
05/23/2022 04:21	66	82.00	30.00
05/23/2022 04:51	66	85.00	30.10
05/23/2022 05:21	66	80.00	30.40
05/23/2022 05:51	66	79.00	30.10
05/23/2022 06:21	67	82.00	29.50
05/23/2022 06:51	66	82.00	29.70
05/23/2022 07:21	65	78.00	31.10
05/23/2022 07:51	67	76.00	31.70
05/23/2022 08:21	65	75.00	32.20
05/23/2022 08:51	66	75.00	32.10
05/23/2022 09:21	65	72.00	32.30
05/23/2022 09:51	65	73.00	32.60
05/23/2022 10:21	65	73.00	33.00
05/23/2022 10:51	64	72.00	33.50
05/23/2022 11:21	64	71.00	33.70
05/23/2022 11:51	64	71.00	33.70
05/23/2022 12:21	64	69.00	34.00
05/23/2022 12:51	62	70.00	34.60
05/23/2022 13:21	61	72.00	34.40
05/23/2022 13:51	62	68.00	34.40
05/23/2022 14:21	61	67.00	34.10
05/23/2022 14:51	62	70.00	33.00
05/23/2022 15:21	63	71.00	32.50
05/23/2022 15:51	63	74.00	32.00
05/23/2022 16:21	63	72.00	32.00
05/23/2022 16:51	63	70.00	32.00
05/23/2022 17:21	62	74.00	32.20
05/23/2022 17:51	63	74.00	32.20
05/23/2022 18:21	64	76.00	32.10
05/23/2022 18:56	80	77.00	31.80
05/23/2022 19:26	76	83.00	31.10
05/23/2022 19:56	76	90.00	29.00
05/23/2022 20:26	76	87.00	29.40
05/23/2022 20:56	76	88.00	29.10
05/23/2022 21:26	75	88.00	28.90
05/23/2022 21:56	75	86.00	28.90
05/23/2022 22:26	72	85.00	29.40
05/23/2022 22:56	72	80.00	30.50
05/23/2022 23:26	72	80.00	30.60
05/23/2022 23:56	72	80.00	30.50
05/24/2022 00:26	72	79.00	30.40
05/24/2022 00:56	71	79.00	30.40
05/24/2022 01:26	71	79.00	30.40
05/24/2022 01:56	71	79.00	30.30
05/24/2022 02:26	71	79.00	30.30
05/24/2022 02:56	71	79.00	30.30
05/24/2022 03:26	71	80.00	30.40
05/24/2022 03:56	71	79.00	30.30
05/24/2022 04:26	70	80.00	30.30
05/24/2022 04:56	70	86.00	30.30
05/24/2022 05:26	70	83.00	30.20
05/24/2022 05:56	70	81.00	30.40
05/24/2022 06:26	70	83.00	30.50
05/24/2022 06:56	70	81.00	30.70
05/24/2022 07:26	69	82.00	31.10
05/24/2022 07:56	69	81.00	31.60
05/24/2022 08:26	68	81.00	31.90
05/24/2022 08:56	69	74.00	32.10
05/24/2022 09:26	68	72.00	32.60
05/24/2022 09:56	68	73.00	33.00
05/24/2022 10:26	69	70.00	33.50
05/24/2022 10:56	67	69.00	33.60
05/24/2022 11:26	69	68.00	33.80
05/24/2022 11:56	67	70.00	33.90
05/24/2022 12:26	67	72.00	34.20
05/24/2022 12:56	67	65.00	34.20
05/24/2022 13:26	70	64.00	34.60
05/24/2022 13:56	69	63.00	34.40
05/24/2022 14:26	69	65.00	34.60
05/24/2022 14:56	68	64.00	35.00
05/24/2022 15:26	68	68.00	35.80
05/24/2022 15:56	69	70.00	34.70
05/24/2022 16:26	68	67.00	34.60
05/24/2022 16:56	68	68.00	34.60
05/24/2022 17:26	68	68.00	34.30
05/24/2022 17:56	69	70.00	34.00
05/24/2022 18:26	68	74.00	33.50
05/24/2022 18:56	69	70.00	33.30
05/24/2022 19:26	69	70.00	33.40
05/24/2022 19:56	68	69.00	33.10
05/24/2022 20:26	68	73.00	33.00
05/24/2022 20:56	68	72.00	33.50
05/24/2022 21:26	63	74.00	33.30
05/24/2022 21:56	63	73.00	33.10
05/24/2022 22:26	63	72.00	32.90
05/24/2022 22:56	63	72.00	32.80
05/24/2022 23:26	62	72.00	32.70
05/24/2022 23:56	62	73.00	32.60
